"","X","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","FDR","P.Value","Slope"
"1087",46684,"ZNF318",50193,256.5,232.4,231.5,205.5,203.6,217,202.5,179.7,189.8,171.2,181.8,188.2,0.0330550657722148,0.000463803302257901,-5.18556430446194
"575",25328,"LOC644353",6110382,129.2,122.8,126.8,107.8,126.7,116.5,108.6,109.2,107.9,101,100.6,108.2,0.0331284699472417,0.000466233353440462,-2.08713910761155
"688",34334,"NPC2",540075,12269.8,11611.5,10601,10055.8,10792.9,10638.6,10057.6,8601.5,10471.3,8660.3,8617.3,9123.9,0.0331284699472417,0.000465949863855827,-243.302887139108
"462",17260,"INA",1230538,571.9,466.6,459.4,338.5,414,351.5,341.1,274.7,326.3,258.3,248,277.8,0.0331867434338444,0.00046775474653708,-20.2301837270341
"642",32935,"MPHOSPH9",6590707,227.8,200.4,207,211.2,220.3,207.5,202.3,179.5,208.1,166.8,163.4,180.5,0.033239874127278,0.00046920600800925,-4.20892388451444
"424",13804,"HS.193557",2450114,833.1,699.9,658.5,642.8,748.3,640.3,648,527.2,586,538,483.8,486.4,0.0332521970987018,0.000472364307159905,-21.6790026246719
"493",17965,"KIAA0368",110678,840.6,694.2,649.7,606.5,663.2,582.4,601.4,512.5,598.8,490,442.4,483.1,0.0332521970987018,0.000472174854060467,-22.334908136483
"720",35648,"PAQR4",3460132,496.2,418.9,436.5,483.1,527.8,467.6,645,544.3,653.3,574.2,677.5,701.7,0.0332521970987018,0.000473455740167592,19.8664041994751
"723",35812,"PCDH7",360367,262.4,203.2,221.3,261,282.8,270.8,384.7,317.5,355,356.3,342.1,371.3,0.0332521970987018,0.000471748778202311,12.3246719160105
"954",42808,"SYT17",1470176,204.5,177.8,172.5,166.9,157.5,162.4,171.7,139.5,145.8,138.2,124.1,132.6,0.0332521970987018,0.000472305970612039,-4.65721784776903
"1081",46462,"ZMIZ1",2450131,1738.5,1721.8,1546.2,1395.6,1503.6,1601.5,1491,1212.5,1388,1236.6,1299.9,1180.9,0.0332521970987018,0.000473595943717115,-38.7669291338583
"304",9562,"FAM129A",4230735,1990.7,1753.7,1760,838.2,895.9,994,672,508.6,532.7,428.2,353.7,407,0.0332719470329669,0.000474580315010727,-119.387664041995
"674",33918,"NEK1",4760674,219.5,228.8,208.1,175.8,216.3,206.8,185,152.4,179.1,168.6,156.7,151.2,0.0334163044727274,0.000477345515363856,-5.64593175853019
"100",2884,"C10ORF75",7330730,188.2,173.8,193.2,156.1,162.9,181,131.9,130.7,150.6,128,132.4,141.7,0.0335726881665928,0.00048379854665687,-4.84304461942258
"273",8621,"EDN1",7040386,194.1,154,157.2,239.1,277.1,263.8,366.4,261.7,372.8,333.6,353.3,398.8,0.0335726881665928,0.000489198406849888,17.2769028871391
"404",12985,"HIST1H2BD",290730,1241.3,1037,912.3,861.6,1088.2,935.6,892.6,568.2,787.1,552.2,619.3,621.4,0.0335726881665928,0.000483948963378954,-44.9653543307087
"432",14725,"HS.537004",5720292,810,736.7,658.9,592.4,680.9,660,511.9,431,517.3,479.3,485.1,462.2,0.0335726881665928,0.000489511544808001,-24.8748031496063
"481",17749,"KCNIP1",6960259,1024.5,955.1,851.3,1009.7,1070.9,989.8,923.3,664.5,841.1,648,631.4,619.3,0.0335726881665928,0.00048305439169471,-34.6139107611549
"501",18120,"KIAA1600",5220672,510.5,487.7,496.1,391.6,457.9,476.4,418.9,364.7,443.2,348.9,395.7,331.4,0.0335726881665928,0.000488693287448626,-12.3690288713911
"566",24220,"LOC642255",4730040,209.2,176.7,190,184.9,194.5,196.5,184.9,171.1,172.3,156.6,165.2,151.9,0.0335726881665928,0.000488214538514528,-3.46876640419948
"589",30319,"LOC729970",6110093,290.4,255.3,252.4,239.6,237.8,245,241.3,193.1,234.9,189.3,191.4,210.5,0.0335726881665928,0.000486238510676738,-6.1992125984252
"611",31330,"MAN1A2",2360477,318.1,275.7,258.7,262.9,262.5,242.3,246.4,202.5,216.8,193,192.3,218.6,0.0335726881665928,0.00048495588979056,-7.6976377952756
"655",33379,"MXD1",670086,444.4,450.4,409.8,282.4,314.8,314.5,280.5,231.8,288.8,229.8,212.7,243.1,0.0335726881665928,0.000485451947137794,-16.9829396325459
