"","TargetID","ProbeID","AVG_Signal.C.1","AVG_Signal.C.2","AVG_Signal.C.3","AVG_Signal.L.1","AVG_Signal.L.2","AVG_Signal.L.3","AVG_Signal.M.1","AVG_Signal.M.2","AVG_Signal.M.3","AVG_Signal.H.1","AVG_Signal.H.2","AVG_Signal.H.3","fdr[id, 1]","pval","slp"
"36626","PKN1",2360474,5.44285051728033,5.42671058131644,5.40267738187228,5.29681624042177,5.25957653823161,5.35185813347607,5.34663122682659,5.14107859012155,5.28776185260852,5.19960139360888,5.15444699612833,5.19184512203752,0.0397507526374617,0.00105166498958439,-0.0207079669408362
"41271","SLFN5",1240725,5.74428441796553,5.60873892596931,5.59024043325707,5.3858702635559,5.37574126351284,5.28320372873799,5.39135223251523,5.17953383055807,5.21602212382121,5.14865659199363,5.09925648574978,5.24807615011129,0.0397507526374617,0.00105061881924925,-0.0398628954480719
"25285","LOC644291",3190435,4.69957086140958,4.7361984483945,4.72472942104573,4.79081953287472,4.829912458666,4.70682383971459,4.83071086190202,4.8194747886351,4.77996347636125,4.83786795010711,4.84339937472034,4.92507740573461,0.0397845490863664,0.00105339982683298,0.0132655309360019
"46000","WNT5B",4850370,5.20455598673356,5.18290651503671,5.17332087637335,5.14458326660599,5.27299955856375,5.27709373009641,5.03043792139244,4.90823336047817,5.06322774421543,4.96842344528695,4.88355921152828,5.01063529409626,0.0397860838646321,0.00105428119870356,-0.0266803667100093
"529","ADCY9",3060100,5.59098698051086,5.35422499848633,5.37805233456689,5.22035582507832,5.32836148789641,5.28978103552575,5.26785815906333,5.04985600724954,5.16763904290592,5.09375020080676,5.09252245356844,5.08202529018293,0.0398748379701575,0.00105757940058304,-0.031264012628462
"1325","AP3D1",6100719,7.23986085273584,7.01319579144013,7.01427512235981,6.71586811731848,6.79043463640559,6.85308787763983,6.71210529197685,6.54218373453565,6.79369032269416,6.57633028358244,6.53987493120124,6.61833836923664,0.0398748379701575,0.00106073053337003,-0.0427623552466783
"35951","PCNX",7050626,6.41148980654748,6.44365419538902,6.28226674689601,6.40621970212324,6.37024338995364,6.34633786910009,6.33859407820318,6.15060276844628,6.32256523992728,6.20657592672493,6.16625783748114,6.0913098820777,0.0398748379701575,0.00105955557501411,-0.0227229753722274
"42312","SSBP2",6480349,5.84586057324919,5.74204118677329,5.70711026474888,5.85678964378138,5.94515879423147,5.92479041383999,5.74011440390359,5.60837228985154,5.70744243548769,5.48562646485303,5.47897086624129,5.54008638198541,0.0398748379701575,0.0010604648430131,-0.0318129650046298
"42519","STK19",4640142,6.57633028358244,6.46925031679577,6.5192947696898,6.38249260741838,6.41050377524326,6.34826448323486,6.18043064662061,6.10099137163522,6.24436105657154,6.15485809401642,6.14139203609093,6.27513859816222,0.0398748379701575,0.00106084612142992,-0.0311862251212729
"16359","HS.579530",990719,5.48105550322721,5.48147190964588,5.44198471636045,5.24702407216049,5.39362754635236,5.34805945844285,5.35422499848633,5.14574876790343,5.35233195485428,5.11379338619888,5.21275947818639,5.19517660762852,0.0399438308694348,0.00106458817012629,-0.0252461927591254
"38146","QPRT",2940291,8.85024530034846,8.93423107587702,8.78670110988911,8.76289635037502,8.73175603351721,8.83992865192541,8.88025171687391,8.69871442803942,8.75498099039418,8.53913079293414,8.57037370388696,8.64345572981354,0.0399438308694348,0.00106515225380147,-0.0239109857319915
"45254","UHRF1",2940110,5.58687405641048,5.51584517907661,5.3729609095438,5.53733426701854,5.64756479465797,5.61020412769664,6.00314605188182,5.66400160464436,5.87211778947542,5.82511475982373,5.93489419561959,5.90317963224041,0.0399438308694348,0.00106521384014595,0.0387930621838952
"11402","GADD45B",4920110,5.89852655144871,5.80423094595301,5.61677109766657,5.77019424017545,5.82008293035236,5.81173961616129,5.69977445325866,5.58724865840025,5.67846466667191,5.48063892334199,5.52505445337238,5.57139328661046,0.0399852305683178,0.0010672196776775,-0.0263250020275607
"31315","MAL",6330196,8.14433079185209,7.76072275098952,7.69938940625674,8.00809940049501,8.1763915966338,8.14662214228539,8.38589929373191,8.09061680009515,8.27119034595595,8.42068229103539,8.36427508499152,8.4941701842587,0.0399852305683178,0.00106800776447718,0.0492110009554783
"39901","SCD5",2940674,5.16706907993808,5.03630304084483,5.11017892443252,5.1624976434055,5.24227597566441,5.13049025590453,5.25436547901885,5.25122575901419,5.36644319559564,5.32933142007721,5.27402467397899,5.35564243316731,0.040145662435959,0.00107314124171097,0.0203511086932499
"11567","GBF1",6510192,5.46848199307136,5.34520095244689,5.48686947309263,5.38219885052874,5.50695623165936,5.38081858805978,5.41253851063806,5.36597601502185,5.32836148789641,5.28167972539501,5.16592817850229,5.23856736214226,0.0401911974425257,0.00107520774173737,-0.0199658396303147
"4878","CBLC",6840519,5.09436350962697,5.07329705522097,4.99991133073328,5.02912987673242,5.1113851971964,5.04535873015464,5.19517660762852,5.11799381241676,5.27453683788263,5.1851486684424,5.23590990641942,5.31123359181458,0.0402441461580108,0.00107794052364439,0.0197517176780167
"40879","SLC25A25",10487,6.97475950776261,6.98286275146894,6.86797440897029,6.32722224279133,6.45409732827249,6.42600290270185,6.43534876512009,6.30864474034857,6.31932840919259,6.20597090502653,6.07073772800249,6.26072803403575,0.0402441461580108,0.00107832507086105,-0.0600816234869956
"38191","RAB22A",7050136,6.9743853612799,6.79290543730319,6.70649552116793,6.74535398962331,6.87925291850943,6.77285151651734,6.76826330016354,6.46536681676938,6.65312106057656,6.53727113976922,6.49163359068544,6.45393990993293,0.0402749730381586,0.00108000212973445,-0.033290632444461
